price_id,stock_id,ticker,date,open,high,low,close,volume
P000001,S001,AAPL,2021-01-04,185.52,186.27,181.13,182.88,18756669
P000002,S002,MSFT,2021-01-04,416.47,422.19,413.41,421.37,8999315
P000003,S003,TSLA,2021-01-04,243.01,244.86,239.66,241.06,78140807
P000004,S004,GOOGL,2021-01-04,174.72,175.43,174.02,174.45,26429110
P000005,S005,AMZN,2021-01-04,185.73,186.23,184.57,184.84,50176955
P000006,S006,JPM,2021-01-04,193.45,194.41,191.17,192.75,40503389
P000007,S007,NVDA,2021-01-04,498.04,504.93,497.39,501.47,55806024
P000008,S008,META,2021-01-04,352.01,354.8,349.04,349.83,53537831
P000009,S001,AAPL,2021-01-05,183.16,184.56,181.42,184.28,43840994
P000010,S002,MSFT,2021-01-05,425.46,434.53,422.13,430.0,65855700
P000011,S003,TSLA,2021-01-05,241.71,242.94,238.4,240.73,40833156
P000012,S004,GOOGL,2021-01-05,175.15,176.42,174.27,176.11,76691040
P000013,S005,AMZN,2021-01-05,185.69,186.65,183.61,183.81,79752529
P000014,S006,JPM,2021-01-05,191.67,193.48,188.49,190.66,9308421
P000015,S007,NVDA,2021-01-05,504.53,505.4,502.05,503.03,81125617
P000016,S008,META,2021-01-05,352.46,355.35,347.82,350.5,66586053
P000017,S001,AAPL,2021-01-06,182.96,184.64,179.88,180.98,83461803
P000018,S002,MSFT,2021-01-06,429.38,432.6,428.94,430.46,23566572
P000019,S003,TSLA,2021-01-06,240.78,241.15,235.25,237.82,89214382
P000020,S004,GOOGL,2021-01-06,174.91,177.19,173.55,175.86,84978790
P000021,S005,AMZN,2021-01-06,185.63,187.96,185.16,185.79,6540956
P000022,S006,JPM,2021-01-06,191.35,193.4,188.43,189.14,50657579
P000023,S007,NVDA,2021-01-06,499.12,502.11,497.39,498.14,40351479
P000024,S008,META,2021-01-06,353.81,358.94,349.98,356.59,88926371
P000025,S001,AAPL,2021-01-07,180.25,182.39,178.39,181.0,26682744
P000026,S002,MSFT,2021-01-07,430.8,437.37,425.63,434.4,48507489
P000027,S003,TSLA,2021-01-07,237.77,238.96,234.73,235.0,46273847
P000028,S004,GOOGL,2021-01-07,174.94,176.21,171.65,173.58,70228535
P000029,S005,AMZN,2021-01-07,186.96,190.94,184.98,189.64,68791320
P000030,S006,JPM,2021-01-07,190.83,192.13,187.9,188.91,33427073
P000031,S007,NVDA,2021-01-07,502.41,510.61,500.32,506.26,58551839
P000032,S008,META,2021-01-07,360.12,363.85,357.85,361.74,21240908
P000033,S001,AAPL,2021-01-08,180.09,180.31,176.68,177.73,83979095
P000034,S002,MSFT,2021-01-08,431.97,435.4,422.37,426.41,9216175
P000035,S003,TSLA,2021-01-08,236.69,237.55,232.56,233.64,33754377
P000036,S004,GOOGL,2021-01-08,173.72,176.75,172.74,174.88,37614537
P000037,S005,AMZN,2021-01-08,190.72,193.08,188.63,192.48,62854710
P000038,S006,JPM,2021-01-08,188.36,190.34,185.72,187.86,18209423
P000039,S007,NVDA,2021-01-08,501.81,510.2,496.39,505.25,30714784
P000040,S008,META,2021-01-08,359.5,361.53,355.74,358.95,38528453
P000041,S001,AAPL,2021-01-11,179.06,180.83,176.32,176.78,18141087
P000042,S002,MSFT,2021-01-11,422.58,433.28,422.01,428.91,36726318
P000043,S003,TSLA,2021-01-11,232.08,232.86,230.22,231.98,12869910
P000044,S004,GOOGL,2021-01-11,173.71,174.63,170.81,171.12,66070189
P000045,S005,AMZN,2021-01-11,191.65,194.52,191.0,192.78,70319931
P000046,S006,JPM,2021-01-11,186.56,188.73,184.38,185.42,77772208
P000047,S007,NVDA,2021-01-11,500.81,501.59,494.65,498.01,76286543
P000048,S008,META,2021-01-11,356.49,362.1,352.94,361.42,84864260
P000049,S001,AAPL,2021-01-12,175.25,178.11,174.96,177.15,81460539
P000050,S002,MSFT,2021-01-12,426.73,431.28,423.58,427.94,83339168
P000051,S003,TSLA,2021-01-12,232.28,233.18,229.93,231.0,47169044
P000052,S004,GOOGL,2021-01-12,170.23,171.66,168.22,169.7,47436584
P000053,S005,AMZN,2021-01-12,194.43,197.19,193.43,196.97,80563727
P000054,S006,JPM,2021-01-12,187.26,187.89,183.18,184.86,51843172
P000055,S007,NVDA,2021-01-12,501.8,510.08,496.65,507.51,77909480
P000056,S008,META,2021-01-12,362.89,368.43,361.15,364.11,6049999
P000057,S001,AAPL,2021-01-13,177.74,180.03,175.81,178.03,23024248
P000058,S002,MSFT,2021-01-13,425.92,434.85,421.54,430.9,42816686
P000059,S003,TSLA,2021-01-13,231.48,233.74,230.32,232.99,40431319
P000060,S004,GOOGL,2021-01-13,169.72,171.59,166.52,168.45,61851377
P000061,S005,AMZN,2021-01-13,198.27,199.2,193.49,195.56,40159040
P000062,S006,JPM,2021-01-13,183.61,185.22,182.22,183.29,20015458
P000063,S007,NVDA,2021-01-13,503.2,514.55,500.18,508.98,54555330
P000064,S008,META,2021-01-13,364.71,365.59,357.75,360.86,10354599
P000065,S001,AAPL,2021-01-14,179.45,180.12,175.96,177.89,80146293
P000066,S002,MSFT,2021-01-14,434.21,437.61,428.53,432.99,36774346
P000067,S003,TSLA,2021-01-14,234.69,240.4,234.15,238.04,8326769
P000068,S004,GOOGL,2021-01-14,167.37,171.13,166.12,169.5,38308443
P000069,S005,AMZN,2021-01-14,194.65,196.76,194.18,196.33,68174945
P000070,S006,JPM,2021-01-14,182.27,185.12,180.69,184.0,35547349
P000071,S007,NVDA,2021-01-14,506.16,511.33,501.64,508.59,14317495
P000072,S008,META,2021-01-14,364.23,367.16,359.07,361.82,76969657
P000073,S001,AAPL,2021-01-15,177.29,179.18,173.18,174.78,82925434
P000074,S002,MSFT,2021-01-15,437.0,437.96,430.8,433.93,47101056
P000075,S003,TSLA,2021-01-15,237.74,241.74,237.24,241.19,30511941
P000076,S004,GOOGL,2021-01-15,168.67,169.9,168.36,169.73,77269803
P000077,S005,AMZN,2021-01-15,197.06,201.48,195.12,199.66,62887757
P000078,S006,JPM,2021-01-15,182.42,184.17,180.86,183.32,21726926
P000079,S007,NVDA,2021-01-15,510.83,513.08,503.96,507.77,59009265
P000080,S008,META,2021-01-15,363.25,364.97,361.55,363.84,55888017
P000081,S001,AAPL,2021-01-18,175.4,178.9,173.88,177.52,78542887
P000082,S002,MSFT,2021-01-18,436.83,438.28,432.8,434.26,86424737
P000083,S003,TSLA,2021-01-18,241.94,243.36,239.36,241.69,68509974
P000084,S004,GOOGL,2021-01-18,170.73,174.66,169.92,173.09,43089166
P000085,S005,AMZN,2021-01-18,199.72,201.46,199.12,200.52,36523529
P000086,S006,JPM,2021-01-18,183.95,184.54,180.29,182.43,37862209
