txn_id,portfolio_id,user_id,stock_id,ticker,txn_type,quantity,price,total_value,fee,date,status
T000001,PF0001,U001,S004,GOOGL,BUY,12,169.4,2032.8,1.99,2023-09-04,COMPLETED
T000002,PF0001,U001,S004,GOOGL,BUY,15,169.42,2541.3,2.87,2021-12-29,FAILED
T000003,PF0001,U001,S004,GOOGL,BUY,17,165.31,2810.27,2.62,2022-11-10,PENDING
T000004,PF0001,U001,S004,GOOGL,SELL,35,153.9,5386.5,2.95,2022-06-29,PENDING
T000005,PF0001,U001,S004,GOOGL,BUY,45,179.4,8073.0,2.51,2022-03-08,COMPLETED
T000006,PF0001,U001,S004,GOOGL,SELL,21,156.78,3292.38,3.57,2021-03-23,COMPLETED
T000007,PF0001,U001,S004,GOOGL,SELL,36,162.34,5844.24,1.35,2023-10-26,COMPLETED
T000008,PF0001,U001,S004,GOOGL,SELL,26,153.89,4001.14,3.45,2023-12-14,COMPLETED
T000009,PF0001,U001,S004,GOOGL,SELL,46,181.98,8371.08,0.87,2022-11-23,COMPLETED
T000010,PF0001,U001,S004,GOOGL,BUY,8,149.77,1198.16,2.24,2021-11-15,COMPLETED
T000011,PF0002,U001,S002,MSFT,BUY,39,435.4,16980.6,1.87,2022-05-27,PENDING
T000012,PF0002,U001,S002,MSFT,BUY,14,419.01,5866.14,3.17,2022-03-25,FAILED
T000013,PF0002,U001,S002,MSFT,BUY,8,464.76,3718.08,2.13,2022-11-21,COMPLETED
T000014,PF0002,U001,S002,MSFT,SELL,38,489.03,18583.14,1.24,2021-12-16,PENDING
T000015,PF0002,U001,S002,MSFT,BUY,6,400.67,2404.02,0.71,2023-06-05,COMPLETED
T000016,PF0002,U001,S002,MSFT,BUY,19,427.57,8123.83,3.19,2023-06-29,COMPLETED
T000017,PF0003,U001,S001,AAPL,BUY,27,187.94,5074.38,3.79,2023-10-04,FAILED
T000018,PF0003,U001,S001,AAPL,BUY,31,183.35,5683.85,0.74,2022-12-29,COMPLETED
T000019,PF0003,U001,S001,AAPL,BUY,10,182.85,1828.5,1.65,2021-06-17,PENDING
T000020,PF0003,U001,S001,AAPL,SELL,15,183.48,2752.2,2.7,2022-09-21,COMPLETED
T000021,PF0003,U001,S001,AAPL,SELL,14,171.5,2401.0,1.22,2023-04-19,COMPLETED
T000022,PF0003,U001,S001,AAPL,SELL,21,173.48,3643.08,0.68,2021-11-26,PENDING
T000023,PF0003,U001,S001,AAPL,BUY,14,190.28,2663.92,4.9,2021-01-22,FAILED
T000024,PF0003,U001,S001,AAPL,SELL,30,175.3,5259.0,2.62,2021-11-11,PENDING
T000025,PF0003,U001,S001,AAPL,BUY,2,171.77,343.54,2.23,2022-01-04,COMPLETED
T000026,PF0003,U001,S001,AAPL,BUY,29,178.01,5162.29,3.72,2022-08-02,COMPLETED
T000027,PF0004,U002,S002,MSFT,BUY,12,467.14,5605.68,3.4,2021-08-12,COMPLETED
T000028,PF0004,U002,S002,MSFT,BUY,14,473.96,6635.44,2.76,2021-06-24,FAILED
T000029,PF0004,U002,S002,MSFT,BUY,17,464.75,7900.75,1.1,2021-08-26,COMPLETED
T000030,PF0004,U002,S002,MSFT,SELL,39,411.46,16046.94,4.32,2023-10-16,COMPLETED
T000031,PF0004,U002,S002,MSFT,SELL,42,447.87,18810.54,4.26,2023-11-03,FAILED
T000032,PF0004,U002,S002,MSFT,SELL,3,477.93,1433.79,2.3,2021-08-30,PENDING
T000033,PF0004,U002,S002,MSFT,SELL,35,425.47,14891.45,1.54,2021-02-18,COMPLETED
T000034,PF0004,U002,S002,MSFT,BUY,17,411.42,6994.14,2.03,2021-10-20,COMPLETED
T000035,PF0004,U002,S002,MSFT,SELL,36,400.5,14418.0,4.84,2023-04-12,COMPLETED
T000036,PF0004,U002,S002,MSFT,BUY,10,484.32,4843.2,1.31,2022-09-15,COMPLETED
T000037,PF0005,U002,S007,NVDA,BUY,36,544.45,19600.2,2.63,2023-12-13,COMPLETED
T000038,PF0005,U002,S007,NVDA,BUY,47,573.62,26960.14,4.04,2022-03-18,COMPLETED
T000039,PF0005,U002,S007,NVDA,SELL,7,476.12,3332.84,2.34,2023-06-19,COMPLETED
T000040,PF0005,U002,S007,NVDA,BUY,24,550.83,13219.92,4.18,2023-04-13,COMPLETED
T000041,PF0005,U002,S007,NVDA,SELL,11,474.99,5224.89,1.61,2023-04-04,FAILED
T000042,PF0005,U002,S007,NVDA,BUY,7,490.42,3432.94,4.33,2023-12-20,COMPLETED
T000043,PF0005,U002,S007,NVDA,BUY,37,523.27,19360.99,2.69,2023-09-18,PENDING
T000044,PF0005,U002,S007,NVDA,BUY,31,522.31,16191.61,3.05,2022-09-07,COMPLETED
T000045,PF0006,U002,S003,TSLA,BUY,50,203.0,10150.0,2.68,2022-09-05,FAILED
T000046,PF0006,U002,S003,TSLA,BUY,15,224.49,3367.35,4.97,2021-04-16,COMPLETED
T000047,PF0006,U002,S003,TSLA,SELL,20,197.02,3940.4,4.03,2023-02-27,COMPLETED
T000048,PF0006,U002,S003,TSLA,BUY,39,189.36,7385.04,4.14,2021-10-05,PENDING
T000049,PF0006,U002,S003,TSLA,BUY,2,190.29,380.58,0.84,2021-06-16,COMPLETED
T000050,PF0006,U002,S003,TSLA,BUY,20,213.01,4260.2,0.5,2023-05-26,COMPLETED
T000051,PF0006,U002,S003,TSLA,SELL,27,233.6,6307.2,2.74,2021-09-22,COMPLETED
T000052,PF0006,U002,S003,TSLA,BUY,38,216.61,8231.18,0.89,2023-12-26,FAILED
T000053,PF0006,U002,S003,TSLA,BUY,25,224.62,5615.5,4.57,2022-07-21,COMPLETED
T000054,PF0006,U002,S003,TSLA,SELL,2,203.15,406.3,3.32,2022-10-25,FAILED
T000055,PF0007,U003,S007,NVDA,BUY,31,406.25,12593.75,3.47,2021-05-11,COMPLETED
T000056,PF0007,U003,S007,NVDA,BUY,37,421.01,15577.37,3.49,2022-07-04,PENDING
T000057,PF0007,U003,S007,NVDA,BUY,3,440.13,1320.39,2.27,2022-10-12,COMPLETED
T000058,PF0007,U003,S007,NVDA,SELL,30,402.21,12066.3,1.87,2021-09-20,COMPLETED
T000059,PF0007,U003,S007,NVDA,BUY,25,438.59,10964.75,2.47,2021-03-25,COMPLETED
T000060,PF0007,U003,S007,NVDA,SELL,40,477.8,19112.0,0.96,2022-01-20,COMPLETED
T000061,PF0007,U003,S007,NVDA,SELL,29,443.33,12856.57,1.2,2022-06-06,PENDING
T000062,PF0007,U003,S007,NVDA,BUY,8,449.29,3594.32,1.88,2022-11-03,FAILED
T000063,PF0007,U003,S007,NVDA,SELL,30,448.78,13463.4,1.42,2021-05-20,COMPLETED
T000064,PF0007,U003,S007,NVDA,SELL,27,385.58,10410.66,4.84,2023-11-15,PENDING
T000065,PF0007,U003,S007,NVDA,BUY,33,437.1,14424.3,2.91,2023-01-02,FAILED
T000066,PF0008,U003,S008,META,BUY,49,309.67,15173.83,3.52,2023-12-20,PENDING
T000067,PF0008,U003,S008,META,SELL,33,299.93,9897.69,4.85,2021-10-18,FAILED
T000068,PF0008,U003,S008,META,SELL,45,335.98,15119.1,4.96,2022-02-28,PENDING
T000069,PF0008,U003,S008,META,BUY,32,277.95,8894.4,2.22,2022-01-31,COMPLETED
T000070,PF0008,U003,S008,META,BUY,32,318.67,10197.44,4.47,2022-12-06,COMPLETED
T000071,PF0008,U003,S008,META,BUY,17,323.87,5505.79,2.83,2023-05-04,PENDING
T000072,PF0008,U003,S008,META,SELL,38,317.01,12046.38,4.87,2022-07-08,COMPLETED
T000073,PF0008,U003,S008,META,BUY,41,328.83,13482.03,1.57,2022-05-18,PENDING
T000074,PF0009,U004,S002,MSFT,SELL,46,373.36,17174.56,1.64,2022-04-06,COMPLETED
T000075,PF0009,U004,S002,MSFT,BUY,11,370.36,4073.96,0.52,2021-12-15,COMPLETED
T000076,PF0009,U004,S002,MSFT,SELL,34,371.2,12620.8,1.91,2023-09-04,COMPLETED
T000077,PF0009,U004,S002,MSFT,SELL,22,392.23,8629.06,1.56,2023-07-12,COMPLETED
T000078,PF0009,U004,S002,MSFT,BUY,3,383.97,1151.91,2.66,2022-02-08,COMPLETED
T000079,PF0009,U004,S002,MSFT,BUY,14,338.64,4740.96,2.9,2022-06-23,PENDING
T000080,PF0010,U004,S008,META,BUY,39,321.26,12529.14,2.33,2021-09-30,PENDING
T000081,PF0010,U004,S008,META,SELL,34,315.31,10720.54,4.63,2022-03-14,COMPLETED
T000082,PF0010,U004,S008,META,BUY,14,316.26,4427.64,4.11,2022-11-15,COMPLETED
T000083,PF0010,U004,S008,META,BUY,47,379.16,17820.52,1.48,2021-05-07,COMPLETED
T000084,PF0010,U004,S008,META,BUY,3,373.23,1119.69,4.45,2021-02-15,PENDING
T000085,PF0010,U004,S008,META,BUY,35,346.51,12127.85,3.11,2022-06-03,COMPLETED
T000086,PF0010,U004,S008,META,SELL,26,347.68,9039.68,3.41,2021-10-19,COMPLETED
T000087,PF0010,U004,S008,META,SELL,26,377.92,9825.92,3.85,2023-09-21,COMPLETED
T000088,PF0010,U004,S008,META,SELL,9,380.95,3428.55,1.38,2021-11-11,FAILED
T000089,PF0010,U004,S008,META,BUY,8,337.64,2701.12,1.16,2023-06-09,COMPLETED
T000090,PF0010,U004,S008,META,SELL,37,333.68,12346.16,4.16,2023-10-16,COMPLETED
T000091,PF0011,U005,S005,AMZN,BUY,32,170.72,5463.04,2.67,2021-02-02,FAILED
T000092,PF0011,U005,S005,AMZN,SELL,39,166.63,6498.57,2.26,2021-06-09,FAILED
T000093,PF0011,U005,S005,AMZN,BUY,30,172.21,5166.3,3.35,2022-01-13,COMPLETED
T000094,PF0012,U005,S007,NVDA,SELL,2,424.48,848.96,1.68,2021-10-12,COMPLETED
T000095,PF0012,U005,S007,NVDA,BUY,42,419.23,17607.66,3.67,2022-04-08,PENDING
T000096,PF0012,U005,S007,NVDA,BUY,22,386.51,8503.22,4.13,2023-01-30,COMPLETED
T000097,PF0012,U005,S007,NVDA,SELL,42,448.83,18850.86,2.34,2023-08-18,COMPLETED
T000098,PF0012,U005,S007,NVDA,BUY,47,422.26,19846.22,2.87,2023-12-28,COMPLETED
T000099,PF0012,U005,S007,NVDA,SELL,4,429.53,1718.12,3.36,2022-09-15,FAILED
